InputSample,InputSample_Binary,CompressedCodeword,CompressedCodeword_Binary
-32768,1000000000000000,213,11010101
-32767,1000000000000001,170,10101010
-32766,1000000000000010,170,10101010
-32765,1000000000000011,170,10101010
-32764,1000000000000100,170,10101010
-32763,1000000000000101,170,10101010
-32762,1000000000000110,170,10101010
-32761,1000000000000111,170,10101010
-32760,1000000000001000,170,10101010
-32759,1000000000001001,170,10101010
-32758,1000000000001010,170,10101010
-32757,1000000000001011,170,10101010
-32756,1000000000001100,170,10101010
-32755,1000000000001101,170,10101010
-32754,1000000000001110,170,10101010
-32753,1000000000001111,170,10101010
-32752,1000000000010000,170,10101010
-32751,1000000000010001,170,10101010
-32750,1000000000010010,170,10101010
-32749,1000000000010011,170,10101010
-32748,1000000000010100,170,10101010
-32747,1000000000010101,170,10101010
-32746,1000000000010110,170,10101010
-32745,1000000000010111,170,10101010
-32744,1000000000011000,170,10101010
-32743,1000000000011001,170,10101010
-32742,1000000000011010,170,10101010
-32741,1000000000011011,170,10101010
-32740,1000000000011100,170,10101010
-32739,1000000000011101,170,10101010
-32738,1000000000011110,170,10101010
-32737,1000000000011111,170,10101010
-32736,1000000000100000,170,10101010
-32735,1000000000100001,170,10101010
-32734,1000000000100010,170,10101010
-32733,1000000000100011,170,10101010
-32732,1000000000100100,170,10101010
-32731,1000000000100101,170,10101010
-32730,1000000000100110,170,10101010
-32729,1000000000100111,170,10101010
-32728,1000000000101000,170,10101010
-32727,1000000000101001,170,10101010
-32726,1000000000101010,170,10101010
-32725,1000000000101011,170,10101010
-32724,1000000000101100,170,10101010
-32723,1000000000101101,170,10101010
-32722,1000000000101110,170,10101010
-32721,1000000000101111,170,10101010
-32720,1000000000110000,170,10101010
-32719,1000000000110001,170,10101010
-32718,1000000000110010,170,10101010
-32717,1000000000110011,170,10101010
-32716,1000000000110100,170,10101010
-32715,1000000000110101,170,10101010
-32714,1000000000110110,170,10101010
-32713,1000000000110111,170,10101010
-32712,1000000000111000,170,10101010
-32711,1000000000111001,170,10101010
-32710,1000000000111010,170,10101010
-32709,1000000000111011,170,10101010
-32708,1000000000111100,170,10101010
-32707,1000000000111101,170,10101010
-32706,1000000000111110,170,10101010
-32705,1000000000111111,170,10101010
-32704,1000000001000000,170,10101010
-32703,1000000001000001,170,10101010
-32702,1000000001000010,170,10101010
-32701,1000000001000011,170,10101010
-32700,1000000001000100,170,10101010
-32699,1000000001000101,170,10101010
-32698,1000000001000110,170,10101010
-32697,1000000001000111,170,10101010
-32696,1000000001001000,170,10101010
-32695,1000000001001001,170,10101010
-32694,1000000001001010,170,10101010
-32693,1000000001001011,170,10101010
-32692,1000000001001100,170,10101010
-32691,1000000001001101,170,10101010
-32690,1000000001001110,170,10101010
-32689,1000000001001111,170,10101010
-32688,1000000001010000,170,10101010
-32687,1000000001010001,170,10101010
-32686,1000000001010010,170,10101010
-32685,1000000001010011,170,10101010
-32684,1000000001010100,170,10101010
-32683,1000000001010101,170,10101010
-32682,1000000001010110,170,10101010
-32681,1000000001010111,170,10101010
-32680,1000000001011000,170,10101010
-32679,1000000001011001,170,10101010
-32678,1000000001011010,170,10101010
-32677,1000000001011011,170,10101010
-32676,1000000001011100,170,10101010
-32675,1000000001011101,170,10101010
-32674,1000000001011110,170,10101010
-32673,1000000001011111,170,10101010
-32672,1000000001100000,170,10101010
-32671,1000000001100001,170,10101010
-32670,1000000001100010,170,10101010
-32669,1000000001100011,170,10101010
-32668,1000000001100100,170,10101010
-32667,1000000001100101,170,10101010
-32666,1000000001100110,170,10101010
-32665,1000000001100111,170,10101010
-32664,1000000001101000,170,10101010
-32663,1000000001101001,170,10101010
-32662,1000000001101010,170,10101010
-32661,1000000001101011,170,10101010
-32660,1000000001101100,170,10101010
-32659,1000000001101101,170,10101010
-32658,1000000001101110,170,10101010
-32657,1000000001101111,170,10101010
-32656,1000000001110000,170,10101010
-32655,1000000001110001,170,10101010
-32654,1000000001110010,170,10101010
-32653,1000000001110011,170,10101010
-32652,1000000001110100,170,10101010
-32651,1000000001110101,170,10101010
-32650,1000000001110110,170,10101010
-32649,1000000001110111,170,10101010
-32648,1000000001111000,170,10101010
-32647,1000000001111001,170,10101010
-32646,1000000001111010,170,10101010
-32645,1000000001111011,170,10101010
-32644,1000000001111100,170,10101010
-32643,1000000001111101,170,10101010
-32642,1000000001111110,170,10101010
-32641,1000000001111111,170,10101010
-32640,1000000010000000,170,10101010
-32639,1000000010000001,170,10101010
-32638,1000000010000010,170,10101010
-32637,1000000010000011,170,10101010
-32636,1000000010000100,170,10101010
-32635,1000000010000101,170,10101010
-32634,1000000010000110,170,10101010
-32633,1000000010000111,170,10101010
-32632,1000000010001000,170,10101010
-32631,1000000010001001,170,10101010
-32630,1000000010001010,170,10101010
-32629,1000000010001011,170,10101010
-32628,1000000010001100,170,10101010
-32627,1000000010001101,170,10101010
-32626,1000000010001110,170,10101010
-32625,1000000010001111,170,10101010
-32624,1000000010010000,170,10101010
-32623,1000000010010001,170,10101010
-32622,1000000010010010,170,10101010
-32621,1000000010010011,170,10101010
-32620,1000000010010100,170,10101010
-32619,1000000010010101,170,10101010
-32618,1000000010010110,170,10101010
-32617,1000000010010111,170,10101010
-32616,1000000010011000,170,10101010
-32615,1000000010011001,170,10101010
-32614,1000000010011010,170,10101010
-32613,1000000010011011,170,10101010
-32612,1000000010011100,170,10101010
-32611,1000000010011101,170,10101010
-32610,1000000010011110,170,10101010
-32609,1000000010011111,170,10101010
-32608,1000000010100000,170,10101010
-32607,1000000010100001,170,10101010
-32606,1000000010100010,170,10101010
-32605,1000000010100011,170,10101010
-32604,1000000010100100,170,10101010
-32603,1000000010100101,170,10101010
-32602,1000000010100110,170,10101010
-32601,1000000010100111,170,10101010
-32600,1000000010101000,170,10101010
-32599,1000000010101001,170,10101010
-32598,1000000010101010,170,10101010
-32597,1000000010101011,170,10101010
